Coordinates,County,State,Latitude,Longitude,Efficiency,One-Bedroom,Two-Bedroom,Three-Bedroom,Four-Bedroom,ZIP,Population (2020 census),Area (mi^2),Density (Population/mi^2),"Total Population Change, Annual Change, July 1, 2021 to July 1, 2022","Total Population Change, Cumulative Change, April 1, 2020 to July 1, 2022",Population Change Percent 2021-2022,"Assault crimes per 1,000","Robbery crimes per 1,000","Rape crimes per 1,000","Murder crimes per 1,000","Theft crimes per 1,000","Vehicle_Theft crimes per 1,000","Burglary crimes per 1,000","Arson crimes per 1,000","Kidnapping crimes per 1,000","Drug_Crimes crimes per 1,000","Vandalism crimes per 1,000","Identity_Theft crimes per 1,000","Animal_Cruelty crimes per 1,000","Total_Violent_Crime_Value crimes per 1,000",Total_Violent_Crime_Grade,"Total_Property_Crime_Value crimes per 1,000",Total_Property_Crime_Grade,Total_Other_Rate_Value,Total_Other_Rate_Grade,Median Home Price Q1 2023,Monthly Payment Q1 2023,Monthly Payment Q1 2022,Percent Change in Monthly Payment,Average_S8_Rent,S8 rent - Mortgage Payment,Landlord Friendly,Investment_Score,Investment Rank,S8 rent - Mortgage Payment_log_transformed,"Total_Violent_Crime_Value crimes per 1,000_log_transformed",Population (2020 census)_log_transformed
"41.2185070628, -91.2596183012",Louisa County,IA,41.21850706,-91.2596183,532,645,795,1028,1068,52621,10837,402,26.958,-70,-160,-0.646,1.155,0.1357,0.2896,0.0141,3.28,0.9895,3.581,0.0466,0.0109,1.028,5.975,1.204,0.0025,1.595,A-,7.897,A,8.22,C,146242,821,533,54.034,813.6,-7.4,Neutral,8.251579736,921,8.636184386,1.144541221,9.314970621
"41.0293737922, -93.3277206567",Lucas County,IA,41.02937379,-93.32772066,690,717,944,1149,1268,50238,8634,431,20.032,-7,53,-0.081,1.358,0.766,0.3093,0.0135,3.569,1.106,5.624,0.0258,0.0416,0.772,6.108,1.296,0.0228,2.447,C-,10.32,B,8.24,C,118883,667,465,43.441,953.6,286.6,Neutral,8.523856239,625,8.687070978,1.384542828,9.093806556
"43.3804969625, -96.2102923903",Lyon County,IA,43.38049696,-96.21029239,581,702,795,968,1312,51235,11934,588,20.296,118,245,0.989,2.277,0.4794,0.2963,0.0127,3.552,0.9812,6.481,0.0343,0.1806,0.9696,7.24,1.118,0.0289,3.065,D,11.05,B-,9.536,C-,208792,1172,793,47.793,871.6,-300.4,Neutral,8.063425456,1090,8.582756188,1.528444753,9.409191231
"41.3352034594, -92.6409093578",Mahaska County,IA,41.33520346,-92.64090936,629,642,798,971,1072,52595,22190,571,38.862,2,-234,0.009,0.8988,0.0401,0.3153,0.0123,6.073,1.177,4.326,0.0131,0.0291,2.084,12.96,1.272,0.0277,1.267,A,11.59,B-,16.38,F,147485,828,558,48.387,822.4,-5.6,Neutral,8.291850937,868,8.636503948,1.03425153,10.01931312
"41.0334522634, -95.621326718",Mills County,IA,41.03345226,-95.62132672,801,888,1083,1449,1611,51571,14484,437,33.144,89,67,0.614,1.123,0.0217,0.2844,0.0123,4.486,1.064,3.519,0.0546,0.0247,0.2217,4.147,1.236,0.006,1.442,A,9.123,A-,5.636,B+,245819,1380,914,50.985,1166.4,-213.6,Neutral,8.096827101,1064,8.598883771,1.094604267,9.598998362
"42.0516662494, -95.9599234782",Monona County,IA,42.05166625,-95.95992348,600,604,795,968,1280,51040,8751,693,12.628,-109,-271,-1.246,4.049,0.2365,0.3244,0.0546,10.16,2.376,6.492,0.0562,0.6284,1.318,9.163,1.365,0.4186,4.665,F,19.09,D,12.89,D-,123485,693,444,56.081,849.4,156.4,Neutral,8.343985713,813,8.664854288,1.826321914,9.106866963
"41.4839220534, -91.1127562492",Muscatine County,IA,41.48392205,-91.11275625,680,707,931,1175,1382,52776,43235,439,98.485,-311,-865,-0.719,0.8289,0.0879,0.2958,0.0129,8.09,1.364,3.767,0.0234,0.0336,0.2152,99.35,1.275,0.0172,1.226,A+,13.24,C,100.9,F,179196,1006,668,50.599,975,-31,Neutral,8.22088326,955,8.631985091,1.019569081,10.68053921
"43.0837526517, -95.6248783386",O'Brien County,IA,43.08375265,-95.62487834,581,616,795,1110,1114,51245,14182,573,24.75,-2,-127,-0.014,8.103,0.5673,0.3085,0.0472,26.72,1.703,7.268,0.0575,0.0757,2.1,14.17,1.118,0.0561,9.026,F,35.75,F,17.52,F,152832,858,574,49.477,843.2,-14.8,Neutral,8.238072785,937,8.634869555,2.358208997,9.578311276
"40.7391440172, -95.1501748646",Page County,IA,40.73914402,-95.15017486,581,610,795,1007,1255,51651,15211,535,28.432,-72,-70,-0.473,1.127,0.0034,0.2991,0.0141,5.601,1.005,3.795,0.0184,0.0288,0.119,3.071,1.07,0.0177,1.444,A,10.42,B,4.307,A,119630,671,476,40.966,849.6,178.6,Neutral,8.424549865,726,8.668677462,1.095273387,9.64711033
"43.0820642869, -94.6781370701",Palo Alto County,IA,43.08206429,-94.67813707,581,604,795,973,1072,50536,8996,564,15.95,-145,-235,-1.612,1.672,0.2137,0.3029,0.0127,8.488,0.9959,4.352,0.0199,0.0608,0.5734,8.857,1.097,0.0219,2.202,C+,13.86,C-,10.61,D+,137785,773,530,45.849,805,32,Neutral,8.230827003,941,8.643156015,1.321222364,9.133675287
"42.7378473183, -96.2140273941",Plymouth County,IA,42.73784732,-96.21402739,597,652,795,1116,1120,51050,25698,864,29.743,-33,-16,-0.128,2.161,0.3341,0.2943,0.0126,4.666,1.011,3.676,0.0225,0.0391,0.53,9.386,1.176,0.0329,2.802,D+,9.375,A-,11.16,D,219860,1234,852,44.836,856,-378,Neutral,7.93886803,1193,8.568114417,1.469715969,10.16446624
"42.7341351105, -94.6787466122",Pocahontas County,IA,42.73413511,-94.67874661,581,604,795,968,1068,50520,7078,578,12.246,-4,-24,-0.057,1.433,0.858,0.3214,0.0145,17.26,0.9908,6.441,0.049,0.0215,0.3515,4.925,1.124,0.0278,2.627,D+,24.74,D-,6.45,B,104334,586,404,45.05,803.2,217.2,Neutral,8.478489975,663,8.675290359,1.428635202,8.901638932
"41.3366123482, -95.542393077",Pottawattamie County,IA,41.33661235,-95.54239308,801,888,1083,1449,1611,51553,93667,954,98.183,-261,-497,-0.279,1.475,0.6709,0.2845,0.0122,5.076,0.9723,2.996,0.0717,0.1002,0.389,9.743,1.103,0.0154,2.443,C-,9.117,A-,11.35,D,236777,1329,705,88.511,1166.4,-162.6,Neutral,8.103829061,1057,8.608239749,1.383540573,11.45033704
"41.6864421928, -92.531468397",Poweshiek County,IA,41.68644219,-92.5314684,616,729,843,1128,1132,50157,18662,585,31.901,-136,-191,-0.729,2.001,0.0957,0.2971,0.0122,3.722,1.007,3.821,0.0161,0.0144,0.3583,6.795,1.14,0.0234,2.406,C-,8.566,A,8.332,C,190761,1071,731,46.512,889.6,-181.4,Neutral,8.079865935,1078,8.604801057,1.37422178,9.848397586
"40.7352022993, -94.2439719124",Ringgold County,IA,40.7352023,-94.24397191,581,633,795,1064,1068,50854,4663,538,8.667,44,7,0.944,1.908,0.7496,0.3051,0.0153,6.583,1.275,4.078,0.0416,0.0756,1.188,5.158,0.9757,0.0934,2.978,D,11.98,C+,7.491,C+,138407,777,558,39.247,828.2,51.2,Neutral,8.379000934,781,8.646535823,1.509396558,8.502891407
"42.3862603643, -95.1053945569",Sac County,IA,42.38626036,-95.10539456,581,626,795,1130,1139,51436,9814,576,17.038,-72,-144,-0.734,1.148,0.083,0.2974,0.0134,5.318,1.039,4.615,0.0172,0.0883,0.3296,3.282,1.278,0.0188,1.542,A-,10.99,B,4.997,A-,129454,726,499,45.491,854.2,128.2,Neutral,8.362460589,796,8.659976651,1.127523632,9.218308542
"42.0362414924, -93.4650447654",Story County,IA,42.03624149,-93.46504477,800,862,981,1394,1671,50134,98537,573,171.967,7,1137,0.007,0.7986,0.1651,0.3049,0.0176,6.161,1.018,2.004,0.1227,0.2056,0.3255,5.052,1.114,2.066,1.286,A,9.305,A-,8.763,C,280536,1574,928,69.612,1141.6,-432.4,Neutral,7.895169981,1208,8.557720743,1.040983176,11.50088325
"42.0798117536, -92.5325425886",Tama County,IA,42.07981175,-92.53254259,552,628,826,1005,1295,50106,17135,721,23.766,29,-227,0.169,2.287,0.2318,0.3009,0.0409,2.934,1.136,3.658,0.0226,0.1808,0.5647,3.861,1.188,0.0186,2.861,D+,7.75,A,5.813,B+,146490,822,565,45.487,861.2,39.2,Neutral,8.325839667,832,8.644424782,1.483194186,9.764282955
"41.0305845373, -92.4094498846",Wapello County,IA,41.03058454,-92.40944988,647,672,885,1102,1368,52566,35437,432,82.03,-240,-402,-0.677,1.005,0.0153,0.2856,0.0141,5.601,0.9981,4.04,0.0204,0.0886,0.6486,11.67,1.374,1.289,1.32,A,10.66,B,15.08,F,111422,625,431,45.012,934.8,309.8,Neutral,8.529575645,619,8.690978417,1.052917329,10.48299
"43.2906788284, -91.8437036051",Winneshiek County,IA,43.29067883,-91.84370361,581,604,795,1064,1068,52101,20070,690,29.087,59,-87,0.294,1.193,0.3548,0.2986,0.0117,14.15,1.057,3.78,0.0376,0.1335,1.367,6.007,1.134,0.014,1.858,B,19.03,D,8.656,C,243860,1369,905,51.271,822.4,-546.6,Neutral,7.819006786,1249,8.535543785,1.224951211,9.920147993
"42.3897291621, -96.0447949019",Woodbury County,IA,42.38972916,-96.0447949,620,705,928,1139,1247,51044,105941,873,121.353,-145,-273,-0.137,2.79,0.0291,0.3025,0.0135,8.372,1.025,5.162,0.1518,0.0871,0.8711,4.349,1.286,0.0134,3.135,D,14.71,C-,6.606,B,200603,1126,742,51.752,927.8,-198.2,Neutral,8.107309163,1051,8.601718146,1.543511762,11.5731453
"42.7331189884, -93.7351436616",Wright County,IA,42.73311899,-93.73514366,581,604,795,968,1068,50101,12943,581,22.277,-130,-260,-1.004,0.8467,0.1347,0.3222,0.0122,6.493,0.9057,5.186,0.0351,0.0236,0.3686,5.426,1.109,0.0269,1.316,A,12.62,C+,6.954,B-,113039,634,425,49.176,803.2,169.2,Neutral,8.392390273,756,8.667060425,1.051520681,9.488653694
"43.4511000415, -116.241166631",Ada County,ID,43.45110004,-116.2411666,929,1059,1310,1841,2159,83616,494967,1055,469.163,5993,23943,1.211,0.5581,0.0373,0.4132,0.0117,3.842,0.7678,1.293,0.0824,0.0219,0.304,1.416,1.162,0.025,1.02,A+,5.985,A+,2.929,A+,572812,3215,1999,60.83,1459.6,-1755.4,Neutral,6.813719841,1436,8.264569335,0.942348266,13.11278364
"42.6684852128, -112.224618777",Bannock County,ID,42.66848521,-112.2246188,599,681,896,1273,1526,83204,87018,1113,78.183,1168,2500,1.342,1.892,0.0851,0.4701,0.0125,8.691,1.217,4.384,0.0525,0.0674,0.658,9.519,1.203,0.0381,2.459,C+,14.34,C,11.49,D+,348302,1955,1264,54.668,995,-960,Neutral,7.495166598,1334,8.450882434,1.387543581,11.37692245
"42.2847872565, -111.329738822",Bear Lake County,ID,42.28478726,-111.3297388,629,633,826,1174,1407,83220,6372,971,6.562,163,351,2.558,2.197,0.0145,0.4449,0.0114,2.628,1.572,5.657,0.0811,0.0542,4.549,9.001,1.361,0.0183,2.668,C,9.938,B+,14.98,D-,226881,1273,914,39.278,933.8,-339.2,Neutral,8.106674163,1053,8.5754621,1.438412315,8.800565992
"47.2175378518, -116.658654162",Benewah County,ID,47.21753785,-116.6586542,637,723,952,1276,1447,83830,9530,776,12.281,429,839,4.502,2.036,0.1948,0.4572,0.0251,10.86,1.755,4.654,0.0597,0.0394,4.486,7.168,1.36,0.0159,2.713,C,17.32,C-,13.07,D,278715,1564,1051,48.811,1007,-557,Neutral,8.009673604,1131,8.533499518,1.449034391,9.189729418
"43.2165580516, -112.398078523",Bingham County,ID,43.21655805,-112.3980785,629,633,833,1184,1342,83277,47992,2095,22.908,1025,1928,2.136,1.72,0.3284,0.4389,0.0114,2.06,0.8578,5.493,0.0233,0.0348,2.16,9.312,1.111,0.0461,2.499,C+,8.434,A-,12.66,D+,269935,1515,995,52.261,924.2,-590.8,Neutral,7.866593773,1227,8.52682664,1.397481551,10.7843169
"43.411940562, -113.980147573",Blaine County,ID,43.41194056,-113.9801476,807,917,1207,1615,1621,83320,24272,2645,9.177,99,591,0.408,3.977,0.3474,0.4496,0.0253,112.2,1.6,5.349,0.0983,0.0692,0.1386,13.32,1.352,0.1631,4.8,D-,119.3,F,15.04,D-,718598,4033,2711,48.764,1233.4,-2799.6,Neutral,5.745409698,1478,7.951418476,1.847824693,10.10797822
"43.9891394613, -115.730322485",Boise County,ID,43.98913946,-115.7303225,929,1059,1310,1841,2159,83716,7610,1902,4.001,212,720,2.786,0.7666,0.0194,0.414,0.0133,5.747,0.8174,1.79,0.0999,0.0458,0.4281,2.36,1.193,0.024,1.213,A+,8.454,A-,4.051,A,344232,1932,1413,36.73,1459.6,-472.4,Neutral,7.946809934,1186,8.55000882,1.014868295,8.97157544
"48.3000250033, -116.601061373",Bonner County,ID,48.300025,-116.6010614,761,766,955,1357,1627,83804,47110,1738,27.106,1797,4309,3.814,0.6816,0.0142,0.4467,0.0111,4.265,0.7638,3.159,0.0075,0.0473,0.5147,1.837,1.132,0.0167,1.154,A+,8.194,A,3.548,A+,437475,2455,1632,50.429,1093.2,-1361.8,Neutral,7.255669033,1378,8.361100627,0.993251773,10.76587105
"43.3877423794, -111.614752705",Bonneville County,ID,43.38774238,-111.6147527,670,796,979,1391,1668,83402,123964,1869,66.326,1451,5541,1.171,3.166,0.1138,0.497,0.0115,5.654,1.209,4.379,0.019,0.1699,1.576,12.49,1.256,0.036,3.788,D,11.26,B-,15.53,D-,446601,2506,1729,44.939,1100.8,-1405.2,Neutral,7.070946341,1403,8.350902452,1.674101426,11.72988997
"48.7668933923, -116.462903445",Boundary County,ID,48.76689339,-116.4629034,638,643,846,1202,1312,83805,12056,1269,9.5,710,1288,5.889,2.432,0.0349,0.4519,0.0126,5.598,2.091,4.347,0.049,0.0664,0.9353,5.459,1.107,0.0148,2.932,C-,12.09,B-,7.583,B-,371479,2085,1391,49.892,928.2,-1156.8,Neutral,7.556258567,1326,8.407913896,1.499176518,9.419141562
"43.4633261176, -114.805776873",Camas County,ID,43.46332612,-114.8057769,683,688,898,1276,1523,83352,1077,1077,1,24,80,2.228,1.767,0.201,0.4593,0.018,4.794,1.313,5.984,0.0303,0.063,1.646,4.29,1.361,0.0322,2.445,C+,12.12,B-,7.391,B-,245292,1377,976,41.086,1013.6,-363.4,Neutral,8.058020026,1095,8.570885606,1.384041826,7.202661197
"43.6250870279, -116.709270124",Canyon County,ID,43.62508703,-116.7092701,929,1059,1310,1841,2159,83626,231105,590,391.703,7291,19959,3.155,1.461,0.152,0.4407,0.0176,4.743,0.8656,2.841,0.0239,0.119,4.541,3.259,1.108,0.0237,2.071,B,8.473,A-,9.05,C,439226,2465,1684,46.378,1459.6,-1005.4,Neutral,7.550130328,1327,8.441132545,1.285644953,12.35177776
"42.7705180974, -111.562215274",Caribou County,ID,42.7705181,-111.5622153,632,636,837,1155,1322,83241,7027,1766,3.979,80,162,1.138,2.997,0.0037,0.4359,0.0112,45.55,0.9321,5.245,0.0829,0.041,2.4,3.412,1.231,0.0206,3.448,D+,51.81,D-,7.105,B,227731,1278,894,42.953,916.4,-361.6,Neutral,8.007360222,1133,8.571226728,1.608237192,8.894670263
"42.2838809992, -113.600088287",Cassia County,ID,42.283881,-113.6000883,642,647,843,1198,1263,83346,24655,2567,9.605,406,962,1.647,2.299,0.0712,0.4584,0.0189,2.711,1.485,7.558,0.0673,0.1507,0.1753,9.417,1.348,0.0713,2.847,C,11.82,B-,11.16,C-,260446,1462,997,46.64,918.6,-543.4,Neutral,7.87756941,1220,8.53617195,1.480012365,10.1234661
"46.6737194276, -115.65690713",Clearwater County,ID,46.67371943,-115.6569071,675,680,895,1272,1524,83537,8734,2462,3.548,98,284,1.122,1.838,0.4057,0.4597,0.0222,42.04,2.17,7.265,0.1028,0.1314,0.6557,6.093,1.45,0.012,2.726,C,51.58,D-,8.342,C+,251665,1412,993,42.195,1009.2,-402.8,Neutral,7.962741312,1169,8.563389518,1.452082102,9.104979856
"44.061546541, -116.397518964",Gem County,ID,44.06154654,-116.397519,770,822,1082,1447,1635,83670,19123,563,33.966,586,1292,3.064,2.477,0.1024,0.4498,0.0234,8.054,1.177,4.81,0.0366,0.0541,0.8984,4.66,1.524,0.0293,3.052,C-,14.08,C+,7.165,B-,283252,1590,1195,33.054,1151.2,-438.8,Neutral,8.022443744,1121,8.556490825,1.525621426,9.872461174
"42.9710217012, -114.811514939",Gooding County,ID,42.9710217,-114.8115149,690,699,907,1193,1430,83316,15598,731,21.338,-10,116,-0.064,1.995,0.0927,0.4501,0.0114,7.658,0.9873,4.895,0.0355,0.0947,2.781,3.164,1.134,0.0346,2.549,C+,13.58,C+,7.208,B-,231413,1299,926,40.281,983.8,-315.2,Neutral,7.983240333,1153,8.57998018,1.409766717,9.67180767
"45.8441976984, -115.46748731",Idaho County,ID,45.8441977,-115.4674873,631,717,944,1227,1586,83547,16541,8485,1.949,540,1051,3.265,1.128,0.0318,0.4591,0.0112,36.64,1.978,6.755,0.0901,0.0758,0.534,2.085,1.372,0.0389,1.63,A-,45.47,D-,4.105,A,301658,1693,1167,45.073,1021,-672,Neutral,7.843132447,1237,8.51061158,1.155622543,9.729550745
"42.6899047449, -114.263941364",Jerome County,ID,42.68990474,-114.2639414,666,757,996,1391,1647,83347,24237,600,40.395,566,1070,2.335,2.427,0.0512,0.4418,0.0168,8.739,0.9288,5.078,0.0331,0.3753,1.293,5.809,1.23,0.0426,2.937,C-,14.78,C,8.75,C,293303,1646,1055,56.019,1091.4,-554.6,Neutral,7.887870182,1213,8.533971643,1.500292465,10.10655084
"47.6743566297, -116.701762031",Kootenai County,ID,47.67435663,-116.701762,838,1007,1228,1745,2092,83810,171362,1245,137.64,3432,12204,2.003,0.8436,0.0191,0.4453,0.0346,5.195,0.9684,3.592,0.0745,0.0385,0.6468,10.88,1.362,0.0028,1.343,A+,9.83,B+,12.93,D,607121,3407,2273,49.89,1382,-2025,Neutral,6.554272353,1456,8.19262581,1.060910421,12.05308462
"46.8161762124, -116.711723179",Latah County,ID,46.81617621,-116.7117232,619,680,863,1226,1470,83823,39517,1077,36.692,581,1460,1.47,1.473,0.0422,0.4397,0.0121,3.734,1.062,4.439,0.0482,0.0252,0.3121,6.266,1.225,0.008,1.967,B+,9.284,A-,7.837,C+,370346,2078,1451,43.212,971.6,-1106.4,Neutral,7.366980071,1358,8.419095129,1.256470373,10.59119496
"44.9432516761, -113.933251642",Lemhi County,ID,44.94325168,-113.9332516,637,641,844,1142,1431,83464,7974,4564,1.747,104,264,1.304,10.07,0.3677,0.458,0.1164,5.487,2.456,7.069,0.0299,0.35,0.1191,1.688,1.371,0.1775,11.01,F,15.04,C,3.706,A,308598,1732,1137,52.331,939,-793,Neutral,7.589100162,1319,8.485950172,2.530198639,9.016755623
"46.2369933896, -116.426326116",Lewis County,ID,46.23699339,-116.4263261,629,639,826,1174,1401,83543,3533,479,7.376,54,235,1.528,1.85,0.3929,0.4443,0.0116,2.122,0.9305,8.106,0.0682,0.0429,1.686,3.986,1.218,0.0138,2.699,C,11.23,B-,6.947,B,222349,1248,888,40.541,933.8,-314.2,Neutral,8.072812491,1081,8.580167991,1.44574182,8.242493153
"42.8542597176, -113.637461803",Minidoka County,ID,42.85425972,-113.6374618,632,691,831,1181,1409,83318,21613,760,28.438,249,612,1.152,1.908,0.1527,0.4483,0.0112,5.827,0.9838,5.207,0.0716,0.0427,0.239,13.34,1.135,0.0336,2.52,C+,12.09,B-,14.79,D-,241468,1355,921,47.123,948.8,-406.2,Neutral,7.973338774,1159,8.562740006,1.402659715,9.993282552
"46.326849228, -116.750277131",Nez Perce County,ID,46.32684923,-116.7502771,674,784,1008,1433,1717,83832,42090,849,49.576,495,915,1.176,0.8205,0.1548,0.437,0.0203,3.714,1.026,3.099,0.0314,0.3346,0.3146,4.032,1.116,0.0038,1.433,A,7.871,A,5.801,B+,298280,1674,1150,45.565,1123.2,-550.8,Neutral,7.835148846,1240,8.534718718,1.091587674,10.65386537
"42.1949698367, -112.539356598",Oneida County,ID,42.19496984,-112.5393566,720,725,946,1344,1604,83243,4564,1200,3.803,124,149,2.717,1.731,0.0065,0.4564,0.04,37.74,1.964,4.994,0.098,0.1354,2.563,3.657,1.371,0.0453,2.234,B-,44.8,D-,7.771,B-,273050,1532,1081,41.721,1067.8,-464.2,Neutral,7.98979983,1149,8.551594618,1.32972401,8.482601747
"42.5814260739, -116.169968363",Owyhee County,ID,42.58142607,-116.1699684,929,1059,1310,1841,2159,83302,11913,7678,1.552,265,699,2.224,3.177,1.041,0.5007,0.3698,57.26,3.494,7.997,0.071,0.2847,0.1958,10.62,2.051,0.2078,5.088,D-,68.82,F,13.36,D,246145,1381,968,42.665,1459.6,78.6,Neutral,8.389625222,759,8.651339395,1.892207941,9.407468436
"44.0067583131, -116.76084539",Payette County,ID,44.00675831,-116.7608454,702,707,930,1284,1385,83661,25386,408,62.221,579,1571,2.281,3.349,0.1347,0.4648,0.0116,24.79,1.675,5.815,0.0443,0.0753,1.485,3.874,1.386,0.0376,3.96,D,32.33,D,6.859,B,285513,1602,1087,47.378,1001.6,-600.4,Neutral,7.851515119,1234,8.524923237,1.705838407,10.15237682
"42.6936561133, -112.840655966",Power County,ID,42.69365611,-112.840656,585,665,875,1244,1490,83204,7878,1406,5.603,109,194,1.384,1.892,0.0851,0.4701,0.0125,8.691,1.217,4.384,0.0525,0.0674,0.658,9.519,1.203,0.0381,2.459,C+,14.34,C,11.49,D+,220270,1236,900,37.333,971.8,-264.2,Neutral,8.106792471,1052,8.589513853,1.387543581,9.005036739
"47.3529575649, -115.892435463",Shoshone County,ID,47.35295756,-115.8924355,572,663,855,1199,1456,83868,13169,2634,5,353,848,2.681,1.412,0.0086,0.4652,0.0113,23.1,1.089,6.25,0.0486,0.0628,0.5094,36.46,1.213,0.0234,1.897,B+,30.48,D,38.27,F,200822,1127,787,43.202,949,-178,Neutral,8.260305082,901,8.605423825,1.236343184,9.505618521
"43.759429876, -111.207614545",Teton County,ID,43.75942988,-111.2076145,896,901,1081,1536,1841,83424,11630,450,25.844,250,911,2.15,0.613,0.0095,0.4127,0.0157,2.06,0.6768,2.231,0.0265,0.0377,0.4141,4.005,1.361,0.05,1.051,A+,4.995,A+,5.867,B+,545959,3064,2119,44.597,1251,-1813,Neutral,6.740364122,1440,8.249627423,0.954356933,9.383957488
"42.3558758962, -114.667148472",Twin Falls County,ID,42.3558759,-114.6671485,671,762,1003,1401,1659,83321,90046,1925,46.777,1339,3651,1.487,3.033,0.0674,0.4547,0.0128,18.19,1.213,4.894,0.0284,0.3323,0.036,3.604,1.232,0.05,3.567,D+,24.33,D+,5.254,A-,436059,2447,1303,87.797,1099.2,-1347.8,Neutral,7.135273831,1394,8.364368299,1.631786316,11.41102562
"44.7666370786, -115.566279021",Valley County,ID,44.76663708,-115.566279,712,828,935,1225,1586,83615,11746,3733,3.147,200,720,1.703,2.4,0.0891,0.4538,0.0439,6.654,0.8755,3.096,0.0348,0.0383,0.3622,2.881,1.411,0.0311,2.986,C-,10.66,B,4.724,A-,503614,2826,1816,55.617,1057.2,-1768.8,Neutral,6.765523985,1438,8.26111314,1.511163343,9.393661429
"37.191593361, -89.3376041231",Alexander County,IL,37.19159336,-89.33760412,597,680,871,1238,1372,62914,5240,236,22.203,-174,-384,-3.321,11.82,3.219,0.5829,0.0923,95.39,0.6369,9.912,0.3314,1.752,15.02,15.87,0.9355,0.0827,15.71,F,106.3,F,33.66,F,72479,407,272,49.632,951.6,544.6,Landlord Friendly,9.011303736,76,8.729688248,2.848159909,8.613593686
"38.8868296401, -89.4355442381",Bond County,IL,38.88682964,-89.43554424,518,670,774,1030,1169,62086,16725,380,44.013,-67,-163,-0.401,1.032,1.441,0.4484,0.039,7.602,0.2497,4.603,0.3278,0.0278,0.6479,2.142,0.9271,0.0366,2.96,C,12.78,C,3.781,A,146664,823,582,41.409,832.2,9.2,Landlord Friendly,8.773041398,361,8.639127598,1.505409842,9.740439071
"39.9617616288, -90.7503556212",Brown County,IL,39.96176163,-90.75035562,531,588,774,942,1080,62375,6244,305,20.472,-113,83,-1.81,2.107,0.3186,0.4291,0.1272,5.389,0.1607,4.251,0.0828,0.0405,0.2316,4.483,1.205,0.0518,2.982,C,9.884,B,6.012,B,126600,710,483,46.998,783,73,Landlord Friendly,8.755499521,388,8.650359517,1.510280341,8.781094735
"41.4041459264, -89.5286557577",Bureau County,IL,41.40414593,-89.52865576,544,618,814,994,1128,61356,33244,869,38.255,-133,-401,-0.4,2.671,0.3184,0.4423,0.039,7.392,0.2834,4.022,0.0814,0.0816,1.152,7.321,0.9835,0.0608,3.47,C-,11.78,C+,9.598,C-,129580,727,503,44.533,819.6,92.6,Landlord Friendly,8.847569424,242,8.653784897,1.612632803,10.41959918
"39.9735467174, -90.247375054",Cass County,IL,39.97354672,-90.24737505,531,588,774,1010,1143,62612,13042,375,34.779,-141,-387,-1.081,1.128,0.1534,0.4289,0.1115,36.44,0.2017,3.675,0.2225,0.2204,0.7608,11.76,1.281,0.0311,1.822,A-,40.54,F,14.06,D-,99420,558,395,41.266,809.2,251.2,Landlord Friendly,8.959728277,118,8.681079186,1.214319096,9.496120637
"39.5458317531, -89.2772543125",Christian County,IL,39.54583175,-89.27725431,584,622,819,1002,1100,62513,34032,709,48,-285,-595,-0.837,1.411,0.2922,0.4433,0.051,9.813,0.1504,3.061,0.0843,0.0405,0.6123,3.523,0.9545,0.0511,2.197,B,13.11,C,5.182,A-,114560,643,451,42.572,825.4,182.4,Landlord Friendly,8.911187663,167,8.669330417,1.319887429,10.44284232
"38.6064621876, -89.4224823889",Clinton County,IL,38.60646219,-89.42248239,748,795,999,1294,1512,62231,36899,474,77.846,23,3,0.062,1.835,0.9878,0.4419,0.0415,22.6,0.1887,3.765,0.1076,0.049,1.033,7.301,0.757,0.0602,3.306,C-,26.67,D-,9.2,C,188444,1058,725,45.931,1069.6,11.6,Landlord Friendly,8.777063382,355,8.639552407,1.579390991,10.52312274
"39.5202961461, -88.2217534978",Coles County,IL,39.52029615,-88.2217535,540,614,808,1098,1106,61938,46863,508,92.25,-475,-531,-1.014,2.024,0.5713,0.4616,0.0404,14.8,0.2808,5.27,0.1163,0.0475,3.56,8.116,0.9829,0.0652,3.097,C,20.46,D,12.77,D,123024,690,509,35.56,833.2,143.2,Landlord Friendly,8.86706313,220,8.6625741,1.535360709,10.7606438
"39.2733468255, -88.2401981662",Cumberland County,IL,39.27334683,-88.24019817,531,588,774,942,1040,62468,10450,345,30.29,-19,-124,-0.182,1.587,0.1994,0.4516,0.0453,13.78,0.2029,4.427,0.0834,0.038,1.181,5.622,0.9502,0.0441,2.284,B,18.49,D+,7.835,C+,128627,722,514,40.467,775,53,Landlord Friendly,8.83204161,263,8.646852096,1.342864803,9.279493231
"41.8519557671, -88.0855946496",DuPage County,IL,41.85195577,-88.08559465,1158,1255,1440,1827,2172,60148,932877,327,2852.835,-5547,-11976,-0.595,1.006,0.3838,0.4207,0.0373,6.678,0.377,1.792,0.092,0.1299,1.355,2.646,1.353,0.0068,1.848,A-,8.939,B+,5.49,B+,422796,2373,1619,46.572,1570.4,-802.6,Landlord Friendly,8.354625056,800,8.483967274,1.222009167,13.74631374
"39.6785303915, -87.7455648767",Edgar County,IL,39.67853039,-87.74556488,531,685,774,964,1142,62441,16866,623,27.072,-156,-435,-0.925,2.697,0.7582,0.4467,0.0396,11.64,0.2959,4.144,0.0976,0.0707,2.356,13.18,0.9616,0.0825,3.941,D+,16.18,D+,16.65,D-,99659,559,401,39.401,819.2,260.2,Landlord Friendly,8.963798861,115,8.68260593,1.702381658,9.748703339
